hero_id,hero_name,role,lane,pick_rate,win_rate,ban_rate,speciality
106,Phoveus,Fighter,Exp Lane,0.77,51.11,2.44,"Regen, Damage"
94,Popol and Kupa,Marksman,Jungle,0.24,53.02,0.1,"Push, Burst"
14,Rafaela,Support,Roam,0.48,52.73,4.04,"Regen, Guard"
39,Roger,Fighter,Jungle,0.48,50.49,0.12,"Finisher, Burst"
29,Ruby,Fighter,Exp Lane,1.24,53.09,2.11,"Crowd Control, Regen"
3,Saber,Assassin,Jungle,0.5,51.47,6.17,"Charge, Finisher"
63,Selena,Assassin,Mid Lane,0.66,44.98,0.62,"Initiator, Finisher"
90,Silvanna,Fighter,Exp Lane,0.77,52.36,0.58,"Initiator, Magic Damage"
27,Sun,Fighter,Exp Lane,0.9,52.76,2.06,"Push, Damage"
126,Suyou,Assassin,Jungle,0.31,48.06,0.23,"Chase, Burst"
82,Terizla,Fighter,Exp Lane,0.38,51.04,0.1,"Burst, Crowd Control"
72,Thamuz,Fighter,Exp Lane,0.93,51.51,2.42,"Chase, Damage"
6,Tigreal,Tank,Roam,1.11,43.74,1.2,Crowd Control
59,Uranus,Tank,Exp Lane,0.61,50.52,0.82,Regen
66,Vale,Mage,Mid Lane,0.28,47.64,0.04,"Burst, Crowd Control"
110,Valentina,Mage,Mid Lane,0.19,44.55,0.05,"Burst, Finisher"
57,Valir,Mage,Mid Lane,0.61,50.72,0.36,"Damage, Guard"
38,Vexana,Mage,Mid Lane,1.48,51.09,0.61,"Poke, Control"
89,Wanwan,Marksman,Gold Lane,0.34,49.57,2.56,"Finisher, Burst"
83,X.Borg,Fighter,Exp Lane,1.37,49.97,5.45,"Regen, Burst"
115,Xavier,Mage,Mid Lane,1.47,51.17,1.01,"Damage, Burst"
30,Yi Sun-shin,Assassin,Jungle,1.68,49.93,64.73,"Finisher, Chase"
113,Yin,Fighter,Jungle,0.31,48.79,0.5,"Burst, Control"
95,Yu Zhong,Fighter,Exp Lane,1.54,51.18,4.09,"Regen, Damage"
101,Yve,Mage,Mid Lane,0.63,53.66,1.39,"Poke, Burst"
129,Zetian,Mage,Mid Lane,0.91,48.65,2.05,"Damage, Crowd Control"
50,Zhask,Mage,Mid Lane,0.18,48.48,0.05,"Chase, Damage"
125,Zhuxin,Mage,Mid Lane,0.71,50.22,3.92,"Damage, Crowd Control"
16,Zilong,Fighter,Exp Lane,0.29,45.93,0.24,"Chase, Damage"
