hero,Primary_Role,total_picks,total_wins,total_losses,total_bans,overall_win_rate,total_matches,ban_rate,cluster
nana,Mage,215,96,119,84,44.65,299,28.093645484949832,0
natalia,Assassin,312,146,166,732,46.79,1044,70.11494252873564,0
natan,Marksman,809,427,382,586,52.78,1395,42.007168458781365,0
nolan,Assassin,726,364,362,1068,50.14,1794,59.53177257525084,1
novaria,Mage,1049,547,502,952,52.14,2001,47.576211894052975,1
obsidia,Marksman,77,38,39,25,49.35,102,24.509803921568626,0
odette,Mage,81,47,34,53,58.02,134,39.55223880597015,0
paquito,Assassin,2043,1042,1001,1472,51.0,3515,41.87766714082504,1
pharsa,Mage,2525,1249,1276,1402,49.47,3927,35.70155334861217,1
phoveus,Fighter,1508,789,719,2318,52.32,3826,60.585467851542084,1
popol and kupa,Marksman,691,348,343,664,50.36,1355,49.00369003690037,0
rafaela,Other,826,411,415,448,49.76,1274,35.16483516483517,0
roger,Marksman,1547,720,827,865,46.54,2412,35.86235489220564,1
ruby,Fighter,1833,857,976,1228,46.75,3061,40.117608624632474,1
saber,Assassin,169,82,87,49,48.52,218,22.477064220183486,0
selena,Assassin,1175,599,576,2063,50.98,3238,63.71216800494132,1
silvanna,Fighter,176,81,95,29,46.02,205,14.146341463414632,0
sun,Fighter,69,39,30,35,56.52,104,33.65384615384615,0
suyou,Assassin,852,453,399,347,53.17,1199,28.940783986655543,0
terizla,Fighter,1755,859,896,841,48.95,2596,32.395993836671806,1
thamuz,Fighter,1267,639,628,437,50.43,1704,25.645539906103288,0
tigreal,Tank,678,364,314,710,53.69,1388,51.15273775216138,0
uranus,Tank,1556,777,779,1556,49.94,3112,50.0,1
vale,Mage,108,54,54,29,50.0,137,21.16788321167883,0
valentina,Mage,2870,1336,1534,2784,46.55,5654,49.23947647683056,1
valir,Mage,432,208,224,417,48.15,849,49.11660777385159,0
vexana,Mage,1061,483,578,528,45.52,1589,33.22844556324733,0
wanwan,Marksman,1010,568,442,2504,56.24,3514,71.25782583949915,1
x.borg,Fighter,1302,653,649,1219,50.15,2521,48.35382784609282,1
xavier,Mage,314,159,155,137,50.64,451,30.376940133037696,0
yi sun-shin,Assassin,1391,758,633,796,54.49,2187,36.39689071787837,1
yin,Assassin,46,19,27,52,41.3,98,53.06122448979592,0
yu zhong,Fighter,1671,810,861,1431,48.47,3102,46.131528046421664,1
yve,Mage,2057,1070,987,2140,52.02,4197,50.98880152489874,1
zetian,Mage,76,39,37,51,51.32,127,40.15748031496063,0
zhask,Mage,495,268,227,360,54.14,855,42.10526315789473,0
zhuxin,Mage,1193,614,579,2166,51.47,3359,64.4834772253647,1
zilong,Assassin,25,6,19,0,24.0,25,0.0,2
