hero_id,hero_name,role,lane,pick_rate,win_rate,ban_rate,speciality,pick_rate_normalized,win_rate_normalized,ban_rate_normalized
128,Kalea,Support,Roam,0.49,47.91,4.16,"Control, Regen",0.19004524886877827,0.36747404844290665,0.07875667429443174
8,Karina,Assassin,Jungle,0.35,46.1,0.59,"Finisher, Magic Damage",0.12669683257918551,0.24221453287197248,0.010678871090770405
40,Karrie,Marksman,Gold Lane,0.58,48.21,0.32,"Finisher, Damage",0.23076923076923073,0.38823529411764746,0.005530129672006103
98,Khaleed,Fighter,Exp Lane,0.48,50.81,1.49,"Damage, Regen",0.18552036199095023,0.5681660899653984,0.02784134248665141
78,Khufra,Tank,Roam,0.37,48.32,0.93,"Initiator, Crowd Control",0.13574660633484162,0.3958477508650522,0.017162471395881007
71,Kimmy,Marksman,Gold Lane,2.02,51.95,5.22,"Damage, Magic Damage",0.8823529411764706,0.6470588235294121,0.09897025171624714
47,Lancelot,Assassin,Jungle,2.28,47.06,48.76,"Chase, Burst",0.9999999999999999,0.30865051903114216,0.929252479023646
37,Lapu-Lapu,Fighter,Exp Lane,2.0,50.65,12.33,"Chase, Burst",0.8733031674208145,0.5570934256055367,0.23455377574370712
18,Layla,Marksman,Gold Lane,0.79,48.51,0.6,"Finisher, Damage",0.3257918552036199,0.40899653979238737,0.010869565217391304
67,Leomord,Fighter,Jungle,0.16,49.39,0.05,"Chase, Burst",0.04072398190045249,0.4698961937716266,0.0003813882532418002
53,Lesley,Marksman,Gold Lane,1.36,48.02,1.53,"Finisher, Burst",0.583710407239819,0.37508650519031184,0.028604118993135013
84,Ling,Assassin,Jungle,0.49,46.51,0.27,"Chase, Burst",0.19004524886877827,0.2705882352941176,0.004576659038901603
20,Lolita,Support,Roam,0.22,54.87,0.79,"Guard, Crowd Control",0.06787330316742082,0.8491349480968857,0.014492753623188408
127,Lukas,Fighter,Exp Lane,0.25,48.28,0.29,"Regen, Damage",0.08144796380090497,0.39307958477508675,0.004958047292143402
68,Lunox,Mage,Mid Lane,0.92,50.21,0.83,"Burst, Damage",0.38461538461538464,0.5266435986159173,0.015255530129672007
96,Luo Yi,Mage,Mid Lane,0.22,47.07,0.04,"Support, Crowd Control",0.06787330316742082,0.3093425605536333,0.0001906941266209001
